"day",cases
"2020-02-24",16
"2020-02-25",18
"2020-02-26",21
"2020-02-27",26
"2020-02-28",53
"2020-02-29",66
"2020-03-01",117
"2020-03-02",150
"2020-03-03",188
"2020-03-04",240
"2020-03-05",349
"2020-03-06",534
"2020-03-07",684
"2020-03-08",847
"2020-03-09",1112
"2020-03-10",1460
"2020-03-11",1884
"2020-03-12",2369
"2020-03-13",3062
"2020-03-14",3795
"2020-03-15",4838
"2020-03-16",6012
"2020-03-17",7156
"2020-03-18",8198
"2020-03-19",10999
"2020-03-20",13957
"2020-03-21",16662
"2020-03-22",18610
"2020-03-23",22672
"2020-03-24",27436
"2020-03-25",31554
"2020-03-26",36508
"2020-03-27",42288
"2020-03-28",48582
"2020-03-29",52547
"2020-03-30",57298
