"day",cases
"2020-02-24",14
"2020-02-25",14
"2020-02-26",15
"2020-02-27",15
"2020-02-28",19
"2020-02-29",24
"2020-03-01",42
"2020-03-02",57
"2020-03-03",85
"2020-03-04",111
"2020-03-05",175
"2020-03-06",252
"2020-03-07",353
"2020-03-08",497
"2020-03-09",645
"2020-03-10",936
"2020-03-11",1205
"2020-03-12",1598
"2020-03-13",2163
"2020-03-14",2825
"2020-03-15",3501
"2020-03-16",4373
"2020-03-17",5664
"2020-03-18",8074
"2020-03-19",12022
"2020-03-20",17439
"2020-03-21",23710
"2020-03-22",32341
"2020-03-23",42751
"2020-03-24",52690
"2020-03-25",64916
"2020-03-26",81966
"2020-03-27",100997
"2020-03-28",121105
"2020-03-29",141288
"2020-03-30",162126
