timestamp,power in Watt
2025-05-25 00:00,0
2025-05-25 01:00,0
2025-05-25 02:00,0
2025-05-25 03:00,0
2025-05-25 04:00,0
2025-05-25 05:00,0
2025-05-25 05:15,4
2025-05-25 05:30,8
2025-05-25 05:45,14
2025-05-25 06:00,21
2025-05-25 06:15,17
2025-05-25 06:30,25
2025-05-25 06:45,59
2025-05-25 07:00,52
2025-05-25 07:15,48
2025-05-25 07:30,31
2025-05-25 07:45,47
2025-05-25 08:00,42
2025-05-25 08:15,40
2025-05-25 08:30,61
2025-05-25 08:45,39
2025-05-25 09:00,48
2025-05-25 09:15,41
2025-05-25 09:30,46
2025-05-25 09:45,66
2025-05-25 10:00,87
2025-05-25 10:15,51
2025-05-25 10:30,78
2025-05-25 10:45,64
2025-05-25 11:00,63
2025-05-25 11:15,60
2025-05-25 11:30,90
2025-05-25 11:45,82
2025-05-25 12:00,70
2025-05-25 12:15,77
2025-05-25 12:30,70
2025-05-25 12:45,37
2025-05-25 13:00,53
2025-05-25 13:15,57
2025-05-25 13:30,86
2025-05-25 13:45,126
2025-05-25 14:00,106
2025-05-25 14:15,90
2025-05-25 14:30,90
2025-05-25 14:45,89
2025-05-25 15:00,101
2025-05-25 15:15,101
2025-05-25 15:30,50
2025-05-25 15:45,78
2025-05-25 16:00,49
2025-05-25 16:15,87
2025-05-25 16:30,88
2025-05-25 16:45,38
2025-05-25 17:00,49
2025-05-25 17:15,21
2025-05-25 17:30,6
2025-05-25 17:45,11
2025-05-25 18:00,32
2025-05-25 18:15,32
2025-05-25 18:30,20
2025-05-25 18:45,22
2025-05-25 19:00,21
2025-05-25 19:15,15
2025-05-25 19:30,5
2025-05-25 19:45,5
2025-05-25 20:00,4
2025-05-25 20:15,3
2025-05-25 21:15,0
2025-05-25 22:15,0
2025-05-25 23:15,0
2025-05-26 00:00,0
2025-05-26 01:00,0
2025-05-26 02:00,0
2025-05-26 03:00,0
2025-05-26 04:00,0
2025-05-26 05:00,0
2025-05-26 05:30,6
2025-05-26 05:45,9
2025-05-26 06:00,24
2025-05-26 06:15,23
2025-05-26 06:30,21
2025-05-26 06:45,24
2025-05-26 07:00,23
2025-05-26 07:15,30
2025-05-26 07:30,77
2025-05-26 07:45,50
2025-05-26 08:00,107
2025-05-26 08:15,146
2025-05-26 08:30,199
2025-05-26 08:45,151
2025-05-26 09:00,142
2025-05-26 09:15,116
2025-05-26 09:30,82
2025-05-26 09:45,239
2025-05-26 10:00,98
2025-05-26 10:15,161
2025-05-26 10:30,616
2025-05-26 10:45,713
2025-05-26 11:00,221
2025-05-26 11:15,184
2025-05-26 11:30,427
2025-05-26 11:45,780
2025-05-26 12:00,652
2025-05-26 12:15,431
2025-05-26 12:30,662
2025-05-26 12:45,633
2025-05-26 13:00,570
2025-05-26 13:15,627
2025-05-26 13:30,527
2025-05-26 13:45,515
2025-05-26 14:00,220
